#amostra;data;hora;cpu_em_uso;cpu_percent;kb_wr_s;mem_used;mem_free;mem_avaliable;swap_used;reservado_cache_buffer;cached;buffer
251;2020-07-05;20:23:47;1;0.09;1.56;3446544;2662788;3930944;1486080;1904312;1634020;158256
252;2020-07-05;20:23:52;1;0.09;1.56;3445324;2663988;3932152;1486080;1904332;1634028;158264
253;2020-07-05;20:23:57;1;0.09;1.56;3443856;2665432;3933612;1486080;1904356;1634028;158272
254;2020-07-05;20:24:02;2;0.09;1.56;3446496;2662640;3930832;1486080;1904508;1634188;158280
255;2020-07-05;20:24:07;3;0.09;1.56;3446668;2659448;3927648;1486080;1907528;1637192;158288
256;2020-07-05;20:24:12;3;0.09;1.56;3447620;2661384;3929596;1486080;1904640;1634296;158296
257;2020-07-05;20:24:17;3;0.09;1.56;3452344;2656764;3924932;1486080;1904536;1634296;158304
258;2020-07-05;20:24:22;3;0.09;1.56;3454740;2654280;3922512;1486080;1904624;1634272;158312
259;2020-07-05;20:24:27;6;0.09;1.56;3453900;2654940;3923176;1486080;1904804;1634436;158320
260;2020-07-05;20:24:32;6;0.09;1.56;3453884;2655316;3923560;1486080;1904444;1634084;158328
261;2020-07-05;20:24:37;6;0.09;1.56;3453328;2655796;3924052;1486080;1904520;1634116;158360
262;2020-07-05;20:24:43;6;0.09;1.56;3453456;2655648;3923944;1486080;1904540;1634124;158368
263;2020-07-05;20:24:48;6;0.09;1.56;3452836;2656276;3924576;1486080;1904532;1634120;158376
264;2020-07-05;20:24:53;6;0.09;1.56;3453552;2655472;3923784;1486080;1904620;1634200;158384
